"Month_Num","Date","YEAR","Month","Precipitation"
3,1926-03-01,1926,"MAR",269.4
4,1926-04-01,1926,"APR",199.8
5,1926-05-01,1926,"MAY",134.1
6,1926-06-01,1926,"JUN",76.9
7,1926-07-01,1926,"JUL",60.6
8,1926-08-01,1926,"AUG",53.3
9,1926-09-01,1926,"SEP",70.2
10,1926-10-01,1926,"OCT",110
11,1926-11-01,1926,"NOV",149.3
12,1926-12-01,1926,"DEC",204.6
1,1927-01-01,1927,"JAN",208.7
2,1927-02-01,1927,"FEB",238.5
3,1927-03-01,1927,"MAR",228.6
4,1927-04-01,1927,"APR",181.8
5,1927-05-01,1927,"MAY",136.9
6,1927-06-01,1927,"JUN",90.7
7,1927-07-01,1927,"JUL",62.8
8,1927-08-01,1927,"AUG",61
9,1927-09-01,1927,"SEP",76.8
10,1927-10-01,1927,"OCT",121.7
11,1927-11-01,1927,"NOV",142.6
12,1927-12-01,1927,"DEC",195.3
1,1928-01-01,1928,"JAN",253.4
2,1928-02-01,1928,"FEB",211.9
3,1928-03-01,1928,"MAR",241.9
4,1928-04-01,1928,"APR",182.5
5,1928-05-01,1928,"MAY",115
6,1928-06-01,1928,"JUN",73.9
7,1928-07-01,1928,"JUL",67
8,1928-08-01,1928,"AUG",49.9
9,1928-09-01,1928,"SEP",81.9
10,1928-10-01,1928,"OCT",106.8
11,1928-11-01,1928,"NOV",164.8
12,1928-12-01,1928,"DEC",208.5
1,1929-01-01,1929,"JAN",242.2
2,1929-02-01,1929,"FEB",235.3
3,1929-03-01,1929,"MAR",252
4,1929-04-01,1929,"APR",186.1
5,1929-05-01,1929,"MAY",153.3
6,1929-06-01,1929,"JUN",86.6
7,1929-07-01,1929,"JUL",64.1
8,1929-08-01,1929,"AUG",58.3
9,1929-09-01,1929,"SEP",76.2
10,1929-10-01,1929,"OCT",109.1
11,1929-11-01,1929,"NOV",146.9
12,1929-12-01,1929,"DEC",234.9
1,1930-01-01,1930,"JAN",211.3
2,1930-02-01,1930,"FEB",207.6
3,1930-03-01,1930,"MAR",239.9
4,1930-04-01,1930,"APR",167.5
5,1930-05-01,1930,"MAY",116.6
6,1930-06-01,1930,"JUN",84.8
7,1930-07-01,1930,"JUL",56.4
8,1930-08-01,1930,"AUG",48.6
9,1930-09-01,1930,"SEP",70.7
10,1930-10-01,1930,"OCT",123.9
11,1930-11-01,1930,"NOV",161.6
12,1930-12-01,1930,"DEC",208.4
1,1931-01-01,1931,"JAN",194.1
2,1931-02-01,1931,"FEB",233.9
3,1931-03-01,1931,"MAR",261.5
4,1931-04-01,1931,"APR",178.9
5,1931-05-01,1931,"MAY",128.5
6,1931-06-01,1931,"JUN",76.4
7,1931-07-01,1931,"JUL",57.2
8,1931-08-01,1931,"AUG",53.7
9,1931-09-01,1931,"SEP",77.7
10,1931-10-01,1931,"OCT",131.8
11,1931-11-01,1931,"NOV",160.3
12,1931-12-01,1931,"DEC",167.9
1,1932-01-01,1932,"JAN",243.7
2,1932-02-01,1932,"FEB",202.7
3,1932-03-01,1932,"MAR",211.8
4,1932-04-01,1932,"APR",141.1
5,1932-05-01,1932,"MAY",114.6
6,1932-06-01,1932,"JUN",81.3
7,1932-07-01,1932,"JUL",62.9
8,1932-08-01,1932,"AUG",55.4
9,1932-09-01,1932,"SEP",76.4
10,1932-10-01,1932,"OCT",112.7
11,1932-11-01,1932,"NOV",149.9
12,1932-12-01,1932,"DEC",174.7
1,1933-01-01,1933,"JAN",221.6
2,1933-02-01,1933,"FEB",197.9
3,1933-03-01,1933,"MAR",238.3
4,1933-04-01,1933,"APR",209.8
5,1933-05-01,1933,"MAY",107.9
6,1933-06-01,1933,"JUN",78.4
7,1933-07-01,1933,"JUL",65.9
8,1933-08-01,1933,"AUG",49
9,1933-09-01,1933,"SEP",75.7
10,1933-10-01,1933,"OCT",131.9
11,1933-11-01,1933,"NOV",173.3
12,1933-12-01,1933,"DEC",210.8
1,1934-01-01,1934,"JAN",216.6
2,1934-02-01,1934,"FEB",238.3
3,1934-03-01,1934,"MAR",230.9
4,1934-04-01,1934,"APR",201
5,1934-05-01,1934,"MAY",146.1
6,1934-06-01,1934,"JUN",86.5
7,1934-07-01,1934,"JUL",61.2
8,1934-08-01,1934,"AUG",59.9
9,1934-09-01,1934,"SEP",78.9
10,1934-10-01,1934,"OCT",129.5
11,1934-11-01,1934,"NOV",155.4
12,1934-12-01,1934,"DEC",225.8
1,1935-01-01,1935,"JAN",237.7
2,1935-02-01,1935,"FEB",221.8
3,1935-03-01,1935,"MAR",257
4,1935-04-01,1935,"APR",208.7
5,1935-05-01,1935,"MAY",152
6,1935-06-01,1935,"JUN",88.2
7,1935-07-01,1935,"JUL",62.9
8,1935-08-01,1935,"AUG",59.7
9,1935-09-01,1935,"SEP",74.4
10,1935-10-01,1935,"OCT",117.3
11,1935-11-01,1935,"NOV",156.1
12,1935-12-01,1935,"DEC",193.7
1,1936-01-01,1936,"JAN",217.9
2,1936-02-01,1936,"FEB",256.8
3,1936-03-01,1936,"MAR",200.4
4,1936-04-01,1936,"APR",174.2
5,1936-05-01,1936,"MAY",114.7
6,1936-06-01,1936,"JUN",74.2
7,1936-07-01,1936,"JUL",54.6
8,1936-08-01,1936,"AUG",51.8
9,1936-09-01,1936,"SEP",72.5
10,1936-10-01,1936,"OCT",118.6
11,1936-11-01,1936,"NOV",152.9
12,1936-12-01,1936,"DEC",184.5
1,1937-01-01,1937,"JAN",227.3
2,1937-02-01,1937,"FEB",212.4
3,1937-03-01,1937,"MAR",231.6
4,1937-04-01,1937,"APR",198.4
5,1937-05-01,1937,"MAY",153
6,1937-06-01,1937,"JUN",86.4
7,1937-07-01,1937,"JUL",62.7
8,1937-08-01,1937,"AUG",55.1
9,1937-09-01,1937,"SEP",73.6
10,1937-10-01,1937,"OCT",130.7
11,1937-11-01,1937,"NOV",148.6
12,1937-12-01,1937,"DEC",207.3
1,1938-01-01,1938,"JAN",220.2
2,1938-02-01,1938,"FEB",210.9
3,1938-03-01,1938,"MAR",227.9
4,1938-04-01,1938,"APR",180.4
5,1938-05-01,1938,"MAY",129.6
6,1938-06-01,1938,"JUN",82
7,1938-07-01,1938,"JUL",64.4
8,1938-08-01,1938,"AUG",55.1
9,1938-09-01,1938,"SEP",67.9
10,1938-10-01,1938,"OCT",126.9
11,1938-11-01,1938,"NOV",151.6
12,1938-12-01,1938,"DEC",209.3
1,1939-01-01,1939,"JAN",229.7
2,1939-02-01,1939,"FEB",219.1
3,1939-03-01,1939,"MAR",232
4,1939-04-01,1939,"APR",185.7
5,1939-05-01,1939,"MAY",135.3
6,1939-06-01,1939,"JUN",78.5
7,1939-07-01,1939,"JUL",83
8,1939-08-01,1939,"AUG",62
9,1939-09-01,1939,"SEP",83.4
10,1939-10-01,1939,"OCT",115.3
11,1939-11-01,1939,"NOV",162.9
12,1939-12-01,1939,"DEC",186.8
1,1940-01-01,1940,"JAN",255.7
2,1940-02-01,1940,"FEB",231.4
3,1940-03-01,1940,"MAR",248.7
4,1940-04-01,1940,"APR",175.7
5,1940-05-01,1940,"MAY",145
6,1940-06-01,1940,"JUN",88.3
7,1940-07-01,1940,"JUL",60.6
8,1940-08-01,1940,"AUG",63.7
9,1940-09-01,1940,"SEP",85.2
10,1940-10-01,1940,"OCT",117.9
11,1940-11-01,1940,"NOV",156.5
12,1940-12-01,1940,"DEC",193.8
1,1941-01-01,1941,"JAN",211.8
2,1941-02-01,1941,"FEB",216.9
3,1941-03-01,1941,"MAR",257.2
4,1941-04-01,1941,"APR",167.8
5,1941-05-01,1941,"MAY",102
6,1941-06-01,1941,"JUN",81.5
7,1941-07-01,1941,"JUL",62.2
8,1941-08-01,1941,"AUG",58.7
9,1941-09-01,1941,"SEP",82.5
10,1941-10-01,1941,"OCT",129.8
11,1941-11-01,1941,"NOV",156.7
12,1941-12-01,1941,"DEC",191
1,1942-01-01,1942,"JAN",212
2,1942-02-01,1942,"FEB",225.8
3,1942-03-01,1942,"MAR",218.2
4,1942-04-01,1942,"APR",170.2
5,1942-05-01,1942,"MAY",123.3
6,1942-06-01,1942,"JUN",84.9
7,1942-07-01,1942,"JUL",56.3
8,1942-08-01,1942,"AUG",52.8
9,1942-09-01,1942,"SEP",92.2
10,1942-10-01,1942,"OCT",129.1
11,1942-11-01,1942,"NOV",159.3
12,1942-12-01,1942,"DEC",208.1
1,1943-01-01,1943,"JAN",254.8
2,1943-02-01,1943,"FEB",195.8
3,1943-03-01,1943,"MAR",249.7
4,1943-04-01,1943,"APR",180.7
5,1943-05-01,1943,"MAY",115.9
6,1943-06-01,1943,"JUN",80.7
7,1943-07-01,1943,"JUL",62.9
8,1943-08-01,1943,"AUG",53.5
9,1943-09-01,1943,"SEP",70.6
10,1943-10-01,1943,"OCT",122.1
11,1943-11-01,1943,"NOV",175.7
12,1943-12-01,1943,"DEC",217.4
1,1944-01-01,1944,"JAN",216.8
2,1944-02-01,1944,"FEB",223.6
3,1944-03-01,1944,"MAR",220.5
4,1944-04-01,1944,"APR",197.6
5,1944-05-01,1944,"MAY",122.2
6,1944-06-01,1944,"JUN",81.5
7,1944-07-01,1944,"JUL",63
8,1944-08-01,1944,"AUG",51.4
9,1944-09-01,1944,"SEP",80
10,1944-10-01,1944,"OCT",120.1
11,1944-11-01,1944,"NOV",160
12,1944-12-01,1944,"DEC",237.1
1,1945-01-01,1945,"JAN",240.8
2,1945-02-01,1945,"FEB",239
3,1945-03-01,1945,"MAR",254.6
4,1945-04-01,1945,"APR",209.8
5,1945-05-01,1945,"MAY",146.4
6,1945-06-01,1945,"JUN",85.8
7,1945-07-01,1945,"JUL",72.6
8,1945-08-01,1945,"AUG",42.6
9,1945-09-01,1945,"SEP",74.3
10,1945-10-01,1945,"OCT",135.9
11,1945-11-01,1945,"NOV",170.2
12,1945-12-01,1945,"DEC",214.4
1,1946-01-01,1946,"JAN",233.2
2,1946-02-01,1946,"FEB",210.3
3,1946-03-01,1946,"MAR",222.4
4,1946-04-01,1946,"APR",168.1
5,1946-05-01,1946,"MAY",141.4
6,1946-06-01,1946,"JUN",79.3
7,1946-07-01,1946,"JUL",68.4
8,1946-08-01,1946,"AUG",52.7
9,1946-09-01,1946,"SEP",70.3
10,1946-10-01,1946,"OCT",105.7
11,1946-11-01,1946,"NOV",175.4
12,1946-12-01,1946,"DEC",176.6
1,1947-01-01,1947,"JAN",240.8
2,1947-02-01,1947,"FEB",226
3,1947-03-01,1947,"MAR",277.9
4,1947-04-01,1947,"APR",183.5
5,1947-05-01,1947,"MAY",132.8
6,1947-06-01,1947,"JUN",85.2
7,1947-07-01,1947,"JUL",76.4
8,1947-08-01,1947,"AUG",58.9
9,1947-09-01,1947,"SEP",81.1
10,1947-10-01,1947,"OCT",138.7
11,1947-11-01,1947,"NOV",202.6
12,1947-12-01,1947,"DEC",222.4
1,1948-01-01,1948,"JAN",226
2,1948-02-01,1948,"FEB",220.4
3,1948-03-01,1948,"MAR",269.2
4,1948-04-01,1948,"APR",167.8
5,1948-05-01,1948,"MAY",123.6
6,1948-06-01,1948,"JUN",82.7
7,1948-07-01,1948,"JUL",66.8
8,1948-08-01,1948,"AUG",47.9
9,1948-09-01,1948,"SEP",79.1
10,1948-10-01,1948,"OCT",122.8
11,1948-11-01,1948,"NOV",149.7
12,1948-12-01,1948,"DEC",258
1,1949-01-01,1949,"JAN",243.4
2,1949-02-01,1949,"FEB",218
3,1949-03-01,1949,"MAR",214.4
4,1949-04-01,1949,"APR",203.9
5,1949-05-01,1949,"MAY",136.5
6,1949-06-01,1949,"JUN",92.2
7,1949-07-01,1949,"JUL",70.5
8,1949-08-01,1949,"AUG",64
9,1949-09-01,1949,"SEP",72.8
10,1949-10-01,1949,"OCT",128.4
11,1949-11-01,1949,"NOV",170.8
12,1949-12-01,1949,"DEC",184.9
1,1950-01-01,1950,"JAN",234.9
2,1950-02-01,1950,"FEB",221.9
3,1950-03-01,1950,"MAR",270.4
4,1950-04-01,1950,"APR",206.1
5,1950-05-01,1950,"MAY",128.3
6,1950-06-01,1950,"JUN",80.3
7,1950-07-01,1950,"JUL",74.9
8,1950-08-01,1950,"AUG",47.9
9,1950-09-01,1950,"SEP",59.8
10,1950-10-01,1950,"OCT",119.8
11,1950-11-01,1950,"NOV",156.5
12,1950-12-01,1950,"DEC",215.1
1,1951-01-01,1951,"JAN",220.8
2,1951-02-01,1951,"FEB",180.8
3,1951-03-01,1951,"MAR",251.8
4,1951-04-01,1951,"APR",177.8
5,1951-05-01,1951,"MAY",137
6,1951-06-01,1951,"JUN",85.8
7,1951-07-01,1951,"JUL",57.8
8,1951-08-01,1951,"AUG",45.5
9,1951-09-01,1951,"SEP",66.2
10,1951-10-01,1951,"OCT",119
11,1951-11-01,1951,"NOV",135.6
12,1951-12-01,1951,"DEC",191.6
1,1952-01-01,1952,"JAN",204.4
2,1952-02-01,1952,"FEB",228.2
3,1952-03-01,1952,"MAR",252.7
4,1952-04-01,1952,"APR",176.5
5,1952-05-01,1952,"MAY",128.2
6,1952-06-01,1952,"JUN",78.9
7,1952-07-01,1952,"JUL",58.8
8,1952-08-01,1952,"AUG",55.2
9,1952-09-01,1952,"SEP",76.7
10,1952-10-01,1952,"OCT",110.8
11,1952-11-01,1952,"NOV",143.7
12,1952-12-01,1952,"DEC",226.9
1,1953-01-01,1953,"JAN",198.8
2,1953-02-01,1953,"FEB",222
3,1953-03-01,1953,"MAR",234.6
4,1953-04-01,1953,"APR",191
5,1953-05-01,1953,"MAY",121.4
6,1953-06-01,1953,"JUN",74
7,1953-07-01,1953,"JUL",72.1
8,1953-08-01,1953,"AUG",47.3
9,1953-09-01,1953,"SEP",94.7
10,1953-10-01,1953,"OCT",124.4
11,1953-11-01,1953,"NOV",159.5
12,1953-12-01,1953,"DEC",229.3
1,1954-01-01,1954,"JAN",197
2,1954-02-01,1954,"FEB",220.7
3,1954-03-01,1954,"MAR",248.4
4,1954-04-01,1954,"APR",174.6
5,1954-05-01,1954,"MAY",132.2
6,1954-06-01,1954,"JUN",93.4
7,1954-07-01,1954,"JUL",64.6
8,1954-08-01,1954,"AUG",48.3
9,1954-09-01,1954,"SEP",69.5
10,1954-10-01,1954,"OCT",104.1
11,1954-11-01,1954,"NOV",170.9
12,1954-12-01,1954,"DEC",193.1
1,1955-01-01,1955,"JAN",249.6
2,1955-02-01,1955,"FEB",205.2
3,1955-03-01,1955,"MAR",244.3
4,1955-04-01,1955,"APR",195.4
5,1955-05-01,1955,"MAY",130.3
6,1955-06-01,1955,"JUN",81.1
7,1955-07-01,1955,"JUL",72.7
8,1955-08-01,1955,"AUG",46
9,1955-09-01,1955,"SEP",66.5
10,1955-10-01,1955,"OCT",117.7
11,1955-11-01,1955,"NOV",165.8
12,1955-12-01,1955,"DEC",214.1
1,1956-01-01,1956,"JAN",204.3
2,1956-02-01,1956,"FEB",232.2
3,1956-03-01,1956,"MAR",237.7
4,1956-04-01,1956,"APR",204.9
5,1956-05-01,1956,"MAY",151.7
6,1956-06-01,1956,"JUN",99
7,1956-07-01,1956,"JUL",71.2
8,1956-08-01,1956,"AUG",70.9
9,1956-09-01,1956,"SEP",70.3
10,1956-10-01,1956,"OCT",136.5
11,1956-11-01,1956,"NOV",187.8
12,1956-12-01,1956,"DEC",219.1
1,1957-01-01,1957,"JAN",253.8
